ReportId,Profit,Sales,Margin,COGS,Marketing,Inventory,Expected Profit,Expected Sales,Expected Margin,Expected COGS,Total Expenses
WU456JW,-42.0,142.0,74.65,36.0,10.0,,-23.7,79.0,,4.0,46.0
YV535PR,-218.0,94.0,,123.0,118.0,1929.0,-41.76,18.0,0.0,92.0,241.0
IA936B9,419.0,833.0,60.62,328.0,139.0,3601.0,488.5,977.0,,426.0,467.0
RY6334F,-216.0,,0.0,215.0,63.0,2713.0,-202.41,173.0,,181.0,278.0
GC417AJ,24.0,72.0,36.11,,9.0,227.0,49.17,149.0,73.15,,55.0
TV073W4,250.0,,59.76,233.0,76.0,1523.0,303.15,705.0,,250.0,309.0
YA44083,181.0,501.0,52.1,240.0,66.0,1355.0,,373.0,52.28,178.0,306.0
OO223RM,71.0,,39.29,170.0,42.0,695.0,88.0,352.0,,,212.0
UU1053H,-218.0,94.0,0.0,123.0,118.0,1929.0,-41.76,18.0,0.0,92.0,241.0
IY602ES,,529.0,52.93,,,,288.53999999999996,687.0,51.24,335.0,
FV960O7,-17.0,75.0,0.0,134.0,52.0,,-56.81,247.0,17.0,205.0,186.0
JY380TG,67.0,126.0,56.35,55.0,55.0,572.0,56.18,106.0,46.23,57.0,110.0
IF223IO,-17.0,75.0,0.0,134.0,52.0,2105.0,-56.81,247.0,17.0,205.0,186.0
DL7055Y,237.0,637.0,60.13,254.0,95.0,650.0,208.68,564.0,60.99,220.0,349.0
LO227QK,155.0,249.0,65.86,85.0,87.0,722.0,,173.0,68.21,55.0,172.0
IW993N1,-72.0,91.0,97.8,2.0,5.0,571.0,-86.9,110.0,56.36,,7.0
PB36749,-33.0,165.0,81.82,30.0,8.0,,-7.0,35.0,28.57,25.0,38.0
XJ433K0,-205.0,59.0,0.0,149.0,,953.0,-291.48,84.0,0.0,154.0,266.0
RI661DP,46.0,236.0,52.54,112.0,84.0,526.0,43.89,231.0,60.17,92.0,196.0
MU30768,50.0,317.0,58.04,133.0,116.0,686.0,54.88,343.0,62.1,130.0,249.0
FV154D5,173.0,282.0,81.56,52.0,28.0,1170.0,111.63,183.0,57.92,77.0,80.0
NW401P3,,188.0,55.32,84.0,31.0,-175.0,64.8,135.0,,56.0,115.0
CU267ET,488.0,860.0,58.6,356.0,129.0,2306.0,528.39,,56.42,404.0,485.0
TI4509K,50.0,317.0,58.04,133.0,116.0,686.0,54.88,,62.1,130.0,249.0
VX876FS,-42.0,142.0,74.65,36.0,10.0,450.0,-23.7,79.0,94.94,4.0,46.0
RP691EX,200.0,504.0,58.13,211.0,71.0,577.0,138.8,347.0,,184.0,282.0
HM8177Q,14.0,186.0,45.7,101.0,29.0,1077.0,4.8,60.0,0.0,116.0,130.0
OR8222C,131.0,384.0,,158.0,,1116.0,125.12,368.0,69.84,111.0,218.0
HT067SB,131.0,384.0,,158.0,60.0,1116.0,125.12,368.0,69.84,111.0,218.0
NR576M1,131.0,384.0,58.85,158.0,60.0,1116.0,125.12,368.0,69.84,111.0,218.0
QW2099Q,70.0,,42.86,48.0,45.0,834.0,166.82999999999998,,93.03,14.0,93.0
QU608N6,77.0,183.0,59.56,74.0,,296.0,67.62,161.0,55.9,71.0,107.0
OI450FG,242.0,540.0,55.56,240.0,63.0,,,481.0,50.94,236.0,303.0
AX832ED,100.0,,58.61,113.0,113.0,506.0,93.98,254.0,45.28,,226.0
JY399XC,83.0,97.0,70.1,29.0,12.0,1044.0,104.92,122.0,55.74,54.0,41.0
HA536N1,70.0,84.0,42.86,48.0,45.0,834.0,166.82999999999998,201.0,93.03,14.0,93.0
TL028TX,420.0,898.0,61.25,348.0,118.0,3564.0,480.80999999999995,1023.0,58.55,424.0,466.0
LJ061JP,70.0,,,138.0,129.0,1154.0,73.32000000000001,282.0,56.74,,267.0
SG5564F,231.0,570.0,52.81,269.0,71.0,2100.0,,639.0,56.81,276.0,340.0
VT704DZ,246.0,470.0,44.47,261.0,68.0,2239.0,246.48000000000002,474.0,50.84,233.0,329.0
JB792V5,-295.0,95.0,0.0,125.0,126.0,1912.0,,71.0,0.0,179.0,251.0
LS3169H,262.0,548.0,58.76,226.0,71.0,1387.0,249.12,519.0,,242.0,297.0
DO059JF,103.0,131.0,50.38,65.0,52.0,746.0,109.02000000000001,138.0,65.22,,117.0
DJ011OF,67.0,,56.35,55.0,55.0,572.0,56.18,106.0,46.23,57.0,110.0
ZT271BL,316.0,673.0,60.62,265.0,104.0,2144.0,301.74,642.0,61.06,250.0,369.0
ME597IN,90.0,188.0,55.32,84.0,31.0,-175.0,64.8,135.0,,,115.0
BB846P7,77.0,295.0,46.44,158.0,59.0,1214.0,80.60000000000001,310.0,46.45,166.0,217.0
FE4744T,-59.0,170.0,28.82,121.0,47.0,,-60.9,174.0,12.64,152.0,
WW947YZ,237.0,637.0,,254.0,95.0,650.0,208.68,564.0,60.99,,349.0
VY559QR,419.0,833.0,60.62,328.0,139.0,3601.0,488.5,977.0,56.4,426.0,467.0
UL275XM,220.0,507.0,47.34,267.0,77.0,1343.0,237.35999999999999,552.0,56.88,238.0,344.0
RH568JP,101.0,297.0,58.59,123.0,112.0,825.0,103.36000000000001,304.0,48.68,156.0,235.0
HH394G9,47.0,91.0,42.86,52.0,8.0,1452.0,86.32000000000001,166.0,83.13,28.0,60.0
CB721EP,8.0,163.0,44.79,90.0,39.0,,6.1000000000000005,122.0,,84.0,129.0
YG371XB,488.0,860.0,58.6,356.0,129.0,2306.0,528.39,927.0,56.42,404.0,485.0
DR498PM,-17.0,75.0,0.0,134.0,52.0,2105.0,-56.81,247.0,17.0,205.0,186.0
VJ661VO,173.0,238.0,49.58,120.0,21.0,446.0,178.12,244.0,72.13,68.0,141.0
HE179MJ,24.0,72.0,36.11,46.0,9.0,227.0,49.17,149.0,73.15,40.0,55.0
MX061NL,-17.0,75.0,0.0,134.0,52.0,2105.0,-56.81,247.0,17.0,205.0,186.0
VR803I9,-144.0,153.0,0.0,210.0,65.0,2439.0,-156.04,,0.0,221.0,275.0
UU7233U,216.0,545.0,53.94,251.0,62.0,819.0,253.60000000000002,634.0,59.78,255.0,313.0
GS896MK,-30.0,168.0,64.88,59.0,45.0,,-6.66,37.0,0.0,60.0,104.0
IC722DZ,184.0,216.0,70.37,64.0,28.0,634.0,183.6,216.0,41.67,126.0,92.0
RA2205R,-366.0,49.0,0.0,278.0,93.0,5193.0,-7.47,1.0,0.0,209.0,371.0
AS477FA,561.0,522.0,88.12,62.0,16.0,-997.0,509.32000000000005,476.0,89.5,50.0,78.0
RT073FX,-82.0,14.0,0.0,48.0,46.0,1188.0,,42.0,,36.0,
MK138AA,187.0,444.0,,215.0,74.0,1001.0,173.88,414.0,61.35,160.0,289.0
HI733EJ,,,62.67,81.0,29.0,676.0,48.43,167.0,60.48,66.0,110.0
ZV216X3,77.0,295.0,46.44,158.0,59.0,1214.0,80.60000000000001,310.0,46.45,166.0,217.0
OS384S8,39.0,48.0,4.17,46.0,14.0,847.0,65.61,81.0,66.67,27.0,60.0
NH720RW,-34.0,187.0,68.45,59.0,22.0,1419.0,-34.92,194.0,55.67,86.0,81.0
KB036H0,237.0,441.0,56.46,192.0,63.0,1307.0,210.60000000000002,390.0,,175.0,255.0
BH51439,21.0,97.0,0.0,100.0,26.0,1761.0,29.04,132.0,33.33,88.0,126.0
BP042C9,77.0,183.0,59.56,74.0,,296.0,67.62,161.0,55.9,71.0,107.0
UM723AK,-61.0,26.0,,0.0,13.0,218.0,-61.1,26.0,23.08,20.0,13.0
DR3866S,-45.0,134.0,32.84,90.0,30.0,1262.0,-40.46,119.0,11.76,,120.0
TY432MA,250.0,579.0,59.76,233.0,76.0,1523.0,303.15,705.0,64.54,250.0,309.0
WG901JO,216.0,545.0,53.94,251.0,62.0,819.0,253.60000000000002,634.0,59.78,255.0,313.0
IR929PL,-33.0,165.0,81.82,30.0,8.0,504.0,-7.0,35.0,28.57,25.0,38.0
ZR829FV,71.0,,39.29,170.0,42.0,695.0,88.0,352.0,59.09,144.0,212.0
LS1044P,136.0,218.0,51.83,105.0,76.0,980.0,179.18,289.0,70.93,84.0,181.0
TK615YB,143.0,221.0,61.09,86.0,29.0,230.0,104.0,160.0,69.38,49.0,115.0
UU1502I,419.0,833.0,60.62,328.0,,3601.0,488.5,977.0,56.4,426.0,467.0
VF2052H,149.0,587.0,56.9,253.0,75.0,1194.0,118.25,473.0,56.03,208.0,328.0
GE209J7,173.0,238.0,49.58,120.0,21.0,446.0,178.12,244.0,72.13,68.0,141.0
EI322UP,573.0,548.0,86.86,72.0,13.0,-1500.0,516.6,492.0,93.7,31.0,85.0
CH742OZ,71.0,280.0,39.29,170.0,42.0,695.0,88.0,352.0,,144.0,212.0
IM166EP,72.0,124.0,76.61,29.0,0.0,876.0,42.919999999999995,74.0,,21.0,29.0
IL555TS,24.0,72.0,36.11,46.0,9.0,227.0,49.17,149.0,73.15,40.0,55.0
FC9623I,-119.0,183.0,57.38,78.0,87.0,-106.0,-121.55,187.0,47.06,99.0,
WP8637K,181.0,501.0,,240.0,66.0,1355.0,134.28,373.0,52.28,178.0,306.0
ZM788OG,323.0,684.0,56.43,298.0,90.0,1899.0,,827.0,58.28,345.0,388.0
FP8269A,294.0,569.0,58.52,236.0,71.0,,303.68,584.0,50.0,292.0,
KS272WB,,187.0,0.0,189.0,61.0,3833.0,-182.31,177.0,0.0,195.0,250.0
QZ898RE,146.0,307.0,,169.0,53.0,1300.0,164.16,342.0,50.0,171.0,222.0
PE101DM,,384.0,58.85,158.0,60.0,1116.0,125.12,368.0,69.84,111.0,218.0
ZE910JD,12.0,65.0,1.54,64.0,19.0,348.0,16.56,92.0,60.87,,83.0
RC331U0,0.0,0.0,,24.0,0.0,1135.0,,0.0,,30.0,24.0
RQ008QR,30.0,254.0,,113.0,93.0,622.0,33.96,283.0,,86.0,206.0
UW412NS,525.0,537.0,89.57,56.0,3.0,-1494.0,,476.0,89.08,52.0,59.0
TQ15575,131.0,384.0,58.85,158.0,60.0,1116.0,125.12,368.0,69.84,111.0,218.0
HK763PZ,-34.0,187.0,68.45,59.0,22.0,1419.0,,194.0,55.67,86.0,81.0
DW136VR,-366.0,49.0,0.0,278.0,93.0,5193.0,-7.47,1.0,0.0,209.0,371.0
DC040DW,131.0,169.0,55.62,75.0,34.0,919.0,98.28,126.0,,73.0,109.0
SH857W7,-1.0,234.0,52.99,110.0,91.0,427.0,-0.0,,58.62,96.0,201.0
AC930MY,97.0,208.0,,103.0,29.0,949.0,112.33,239.0,57.32,102.0,
KR1715M,210.0,483.0,,221.0,74.0,1307.0,206.4,480.0,60.42,190.0,295.0
NK076BU,141.0,354.0,51.98,170.0,37.0,1544.0,,281.0,,112.0,207.0
DO0831D,-7.0,54.0,100.0,0.0,6.0,583.0,-15.34,118.0,83.05,20.0,6.0
GN165WU,105.0,243.0,59.26,99.0,,766.0,107.5,250.0,,100.0,126.0
XL003KJ,134.0,227.0,61.67,87.0,24.0,756.0,129.79999999999998,220.0,59.09,90.0,111.0
ZB295N5,199.0,322.0,,123.0,34.0,959.0,179.8,290.0,58.62,120.0,157.0
EV270PE,285.0,528.0,53.03,248.0,93.0,1620.0,208.44000000000003,386.0,50.52,191.0,341.0
OJ842HY,184.0,459.0,55.56,204.0,73.0,2052.0,182.8,457.0,53.61,212.0,277.0
YQ7299D,54.0,,60.0,50.0,13.0,1729.0,41.71,97.0,,56.0,63.0
JG2795B,286.0,670.0,55.52,298.0,101.0,2343.0,345.71999999999997,804.0,56.84,347.0,399.0
HM55495,-98.0,220.0,13.18,191.0,72.0,3160.0,-87.3,194.0,0.0,,263.0
ZE3454W,59.0,252.0,69.44,77.0,29.0,873.0,37.49,163.0,47.24,86.0,106.0
XU033FI,326.0,,61.49,268.0,89.0,1129.0,261.78999999999996,557.0,54.4,254.0,
GR5364H,-368.0,53.0,0.0,141.0,122.0,2127.0,-284.54,,0.0,136.0,263.0
JI363BE,326.0,696.0,61.49,268.0,89.0,1129.0,,557.0,,254.0,
JE026KC,384.0,848.0,56.96,365.0,129.0,2546.0,446.85,,59.52,402.0,494.0
XO084F0,66.0,172.0,63.37,63.0,,677.0,,247.0,74.9,62.0,92.0
JP765EK,94.0,,59.36,89.0,24.0,777.0,94.6,220.0,59.09,90.0,113.0
SE762VG,121.0,276.0,59.06,113.0,31.0,897.0,123.2,280.0,60.71,110.0,144.0
CO1803L,134.0,302.0,59.27,123.0,34.0,959.0,127.6,290.0,58.62,120.0,157.0
EA615E6,146.0,245.0,63.67,89.0,24.0,777.0,132.0,220.0,59.09,90.0,113.0
UQ853EV,167.0,274.0,58.76,113.0,31.0,897.0,170.79999999999998,280.0,60.71,110.0,144.0
TW4769Q,197.0,322.0,61.8,123.0,34.0,915.0,183.0,300.0,60.0,120.0,157.0
HD896ZE,190.0,309.0,61.81,118.0,33.0,,170.79999999999998,280.0,60.71,110.0,151.0
RQ066FE,90.0,213.0,59.15,87.0,24.0,756.0,92.39999999999999,220.0,59.09,90.0,111.0
CK81043,96.0,223.0,59.19,91.0,25.0,777.0,,,60.87,,116.0
FR95375,111.0,256.0,59.38,104.0,,821.0,111.8,260.0,57.69,110.0,133.0
NH852C9,111.0,256.0,59.38,104.0,29.0,952.0,111.8,260.0,57.69,110.0,133.0
QW785BN,133.0,301.0,59.14,123.0,,941.0,136.4,310.0,58.06,130.0,157.0
RO75579,,259.0,61.78,99.0,27.0,766.0,150.0,250.0,,100.0,
CN047EG,153.0,254.0,59.06,,29.0,821.0,156.0,260.0,57.69,110.0,133.0
RB160BI,153.0,254.0,59.06,104.0,29.0,952.0,156.0,260.0,57.69,110.0,133.0
PE270XO,184.0,298.0,58.72,123.0,34.0,941.0,192.2,310.0,58.06,130.0,157.0
VM90230,-73.0,222.0,5.86,209.0,63.0,2993.0,-53.79,163.0,0.0,186.0,272.0
UM2616I,130.0,194.0,40.72,115.0,21.0,332.0,180.9,270.0,77.78,60.0,136.0
XG324XF,233.0,481.0,50.31,239.0,68.0,2526.0,167.51999999999998,349.0,48.71,179.0,307.0
IM138EU,75.0,209.0,66.03,71.0,31.0,418.0,68.39999999999999,190.0,56.84,82.0,102.0
DX2242Z,134.0,302.0,59.27,123.0,34.0,928.0,136.4,310.0,58.06,130.0,157.0
PT307EQ,133.0,302.0,59.27,123.0,34.0,915.0,132.0,300.0,60.0,120.0,157.0
CF853DE,128.0,290.0,59.31,118.0,33.0,930.0,123.2,280.0,,110.0,151.0
ON456NX,142.0,238.0,61.76,91.0,25.0,777.0,138.0,230.0,60.87,90.0,116.0
XM81099,199.0,,61.8,123.0,34.0,928.0,192.2,310.0,58.06,130.0,157.0
JN89990,19.0,217.0,63.13,80.0,91.0,767.0,17.82,,,,171.0
IB7683G,456.0,875.0,61.26,339.0,129.0,,510.64000000000004,982.0,58.45,408.0,468.0
CP918CG,-4.0,173.0,55.49,77.0,44.0,239.0,-1.68,84.0,72.62,23.0,121.0
PP079AR,96.0,43.0,100.0,0.0,,160.0,327.81,147.0,100.0,0.0,5.0
TW967EB,320.0,673.0,55.57,299.0,97.0,2580.0,420.96,,63.97,316.0,396.0
MX863QU,184.0,459.0,55.56,204.0,,2052.0,182.8,457.0,53.61,212.0,277.0
ME455KN,-257.0,26.0,0.0,132.0,118.0,1497.0,-1086.8000000000002,110.0,0.0,132.0,250.0
KD122CI,230.0,505.0,55.84,223.0,53.0,,185.38,403.0,61.04,157.0,276.0
WS066BK,233.0,481.0,50.31,239.0,68.0,2526.0,167.51999999999998,349.0,48.71,179.0,307.0
VZ518PT,52.0,67.0,47.76,35.0,14.0,250.0,190.32,244.0,87.7,,49.0
UB390NO,46.0,287.0,46.34,154.0,37.0,1247.0,38.4,240.0,40.83,,191.0
QI688UL,-173.0,152.0,0.0,204.0,72.0,2694.0,-157.32,138.0,,211.0,276.0
IY65633,264.0,722.0,63.3,265.0,100.0,1438.0,206.09,557.0,55.83,246.0,365.0
GU7759L,0.0,266.0,,137.0,120.0,1070.0,0.0,260.0,58.08,109.0,257.0
ML714NT,-249.0,111.0,0.0,126.0,119.0,1353.0,-89.60000000000001,40.0,0.0,,245.0
CH034A8,-79.0,,0.0,223.0,58.0,3186.0,-52.17,141.0,0.0,,281.0
XJ968XK,-45.0,54.0,0.0,63.0,33.0,675.0,-39.839999999999996,48.0,8.33,44.0,96.0
ZU697QR,130.0,194.0,40.72,,21.0,332.0,180.9,270.0,77.78,60.0,136.0
YC121X3,-236.0,75.0,0.0,124.0,116.0,2480.0,-296.09999999999997,,0.0,,240.0
TY443ZZ,200.0,531.0,55.74,235.0,64.0,1293.0,212.04,558.0,57.53,237.0,299.0
QX940D9,51.0,78.0,56.41,34.0,9.0,-45.0,0.0,0.0,,14.0,43.0
ML783Z9,208.0,481.0,53.64,223.0,74.0,1024.0,179.31,417.0,,208.0,297.0
VJ708WL,320.0,673.0,,299.0,97.0,2580.0,420.96,877.0,63.97,,396.0
PY9654B,114.0,226.0,54.42,103.0,22.0,308.0,124.0,248.0,69.35,76.0,125.0
ZB5576B,,308.0,59.42,125.0,107.0,1069.0,109.48,322.0,60.87,126.0,232.0
FD977DK,320.0,748.0,59.36,304.0,97.0,2364.0,351.74,818.0,61.0,319.0,401.0
QV72191,38.0,217.0,58.06,91.0,93.0,553.0,40.14,,56.5,,184.0
GW541SW,59.0,252.0,69.44,77.0,29.0,873.0,37.49,163.0,47.24,86.0,106.0
PJ676U8,-45.0,54.0,0.0,63.0,33.0,675.0,-39.839999999999996,48.0,8.33,44.0,96.0
FO490SO,-70.0,92.0,58.7,38.0,3.0,720.0,,9.0,0.0,44.0,41.0
NF117VP,-121.0,148.0,0.0,235.0,77.0,2603.0,-216.48,264.0,19.32,213.0,312.0
SO050CR,225.0,429.0,41.96,249.0,65.0,853.0,183.56,353.0,47.31,186.0,314.0
UW393W6,-63.0,86.0,39.53,52.0,41.0,-401.0,-49.64,68.0,33.82,45.0,93.0
TJ0769P,110.0,188.0,53.19,88.0,20.0,62.0,109.14999999999999,185.0,64.86,65.0,108.0
ME830HY,-63.0,86.0,39.53,,41.0,-401.0,-49.64,68.0,33.82,45.0,93.0
GV0379H,-249.0,111.0,0.0,126.0,119.0,,-89.60000000000001,40.0,0.0,134.0,245.0
AR3047S,-63.0,86.0,39.53,52.0,41.0,-401.0,-49.64,68.0,33.82,45.0,93.0
ME473MM,-178.0,22.0,,,117.0,1777.0,-1011.25,125.0,0.0,125.0,257.0
YZ846OH,,94.0,,47.0,20.0,957.0,95.16,61.0,0.0,64.0,67.0
VR324ND,-141.0,171.0,0.0,185.0,65.0,2123.0,-156.62,191.0,13.09,166.0,250.0
VQ108LG,59.0,252.0,69.44,77.0,29.0,873.0,37.49,163.0,47.24,86.0,106.0
PU4889J,-283.0,48.0,0.0,132.0,130.0,2101.0,-200.60000000000002,34.0,0.0,114.0,262.0
XY383VB,-12.0,,,39.0,13.0,437.0,-17.16,132.0,65.91,45.0,52.0
PV5571J,-15.0,143.0,59.44,58.0,44.0,896.0,-4.800000000000001,48.0,64.58,17.0,102.0
XH443FO,208.0,481.0,53.64,223.0,74.0,1024.0,179.31,417.0,50.12,208.0,297.0
ES309MJ,,659.0,55.84,291.0,93.0,,282.15000000000003,627.0,59.65,253.0,384.0
KI340BB,25.0,81.0,58.02,34.0,29.0,593.0,,100.0,39.0,61.0,
