Quarter,StoreId,State,Position,Market,ProdId,Product,Type,ReportId
2023-07-01,Los Angeles - Santa Monica Boulevard,California,West,Small Market,1_Co,Amaretto,Coffee,RP3423U
2023-10-01,Los Angeles - Santa Monica Boulevard,California,West,Micro Market,1_Co,Amaretto,Coffee,ZS498KZ
2023-01-01,Los Angeles - La Cienega Boulevard,California,West,Small Market,1_Co,Amaretto,Coffee,PC340YI
2023-04-01,Los Angeles - La Cienega Boulevard,California,West,Micro Market,1_Co,Amaretto,Coffee,YO886RO
2023-07-01,Los Angeles - La Cienega Boulevard,,West,Big Market,1_Co,Amaretto,,SD49411
2023-10-01,Los Angeles - La Cienega Boulevard,,West,Micro Market,1_Co,Amaretto,Coffee,FP864J0
2023-01-01,Los Angeles - Ventura Boulevard,California,West,Big Market,1_Co,Amaretto,Coffee,JZ92612
2023-04-01,Los Angeles - Ventura Boulevard,California,West,Micro Market,1_Co,,Coffee,VC069B2
2023-07-01,Los Angeles - Ventura Boulevard,,West,Micro Market,1_Co,Amaretto,Coffee,WQ961D0
2023-10-01,Los Angeles - Ventura Boulevard,California,West,Small Market,1_Co,,Coffee,NI002DY
2023-01-01,San Francisco - Market Street,California,West,Micro Market,1_Co,Amaretto,Coffee,MV511OC
2023-04-01,San Francisco - Market Street,California,West,Micro Market,1_Co,Amaretto,Coffee,HH6454G
2023-07-01,San Francisco - Market Street,California,West,Small Market,1_Co,Amaretto,,JQ289C1
2023-10-01,San Francisco - Market Street,California,West,Micro Market,1_Co,,Coffee,QZ926ZI
2023-01-01,San Francisco - Fisherman Wharf,California,West,Micro Market,1_Co,Amaretto,Coffee,GS932CD
2023-04-01,San Francisco - Fisherman Wharf,California,West,Micro Market,1_Co,Amaretto,Coffee,HF714CB
2023-07-01,San Francisco - Fisherman Wharf,California,West,Small Market,1_Co,Amaretto,Coffee,LI886EI
2023-10-01,San Francisco - Fisherman Wharf,,,Micro Market,1_Co,Amaretto,Coffee,GE230DW
2023-01-01,San Francisco - The Embarcadero,California,West,,1_Co,Amaretto,Coffee,DQ657HK
2023-04-01,San Francisco - The Embarcadero,California,West,Small Market,1_Co,Amaretto,Coffee,UP8290P
2023-07-01,San Francisco - The Embarcadero,California,West,Small Market,1_Co,Amaretto,Coffee,KP8179D
2023-10-01,San Francisco - The Embarcadero,California,,,1_Co,Amaretto,Coffee,NO592D4
2023-01-01,San Francisco - Haight Street,California,West,Micro Market,1_Co,Amaretto,Coffee,HW899BC
2023-04-01,San Francisco - Haight Street,California,West,Medium Market,1_Co,Amaretto,Coffee,UL920GM
2023-07-01,San Francisco - Haight Street,California,West,Small Market,1_Co,Amaretto,,FD4642O
2023-10-01,San Francisco - Haight Street,California,,,1_Co,Amaretto,Coffee,TR09988
2023-01-01,San Francisco - Van Ness Avenue,California,West,Micro Market,1_Co,Amaretto,Coffee,UI422L0
2023-04-01,San Francisco - Van Ness Avenue,California,West,Medium Market,1_Co,Amaretto,Coffee,GB100GH
2023-07-01,San Francisco - Van Ness Avenue,California,West,Micro Market,1_Co,Amaretto,,YH365IL
2023-10-01,San Francisco - Van Ness Avenue,California,,Big Market,1_Co,Amaretto,Coffee,FC357NY
2023-01-01,San Diego - Gaslamp Quarter,California,West,,1_Co,Amaretto,Coffee,QY005QB
2023-04-01,San Diego - Gaslamp Quarter,,West,Medium Market,1_Co,Amaretto,Coffee,MS38386
2023-07-01,San Diego - Gaslamp Quarter,California,West,Medium Market,1_Co,Amaretto,Coffee,XE2477B
2023-10-01,San Diego - Gaslamp Quarter,California,West,Medium Market,1_Co,Amaretto,Coffee,UF667WP
2023-01-01,San Diego - Harbor Drive,California,West,Micro Market,1_Co,,Coffee,WI948VO
2023-04-01,San Diego - Harbor Drive,California,West,Micro Market,1_Co,Amaretto,Coffee,EE789S6
2023-07-01,San Diego - Harbor Drive,California,West,Small Market,1_Co,Amaretto,Coffee,IL488SR
2023-10-01,San Diego - Harbor Drive,California,West,Small Market,1_Co,Amaretto,Coffee,DN393I9
2023-01-01,San Diego - University Avenue,California,West,Big Market,1_Co,Amaretto,Coffee,FA250S6
2023-04-01,San Diego - University Avenue,California,,Irrelevant Market,1_Co,Amaretto,Coffee,EY3448E
2023-07-01,San Diego - University Avenue,California,,Micro Market,1_Co,Amaretto,Coffee,JM900HV
2023-10-01,San Diego - University Avenue,California,,Micro Market,1_Co,Amaretto,Coffee,VX5076Q
2023-01-01,San Diego - Mission Boulevard,,West,Medium Market,1_Co,Amaretto,Coffee,BM046VU
2023-04-01,San Diego - Mission Boulevard,California,West,Small Market,1_Co,Amaretto,Coffee,KG7847V
2023-07-01,San Diego - Mission Boulevard,California,West,Micro Market,1_Co,Amaretto,,DI036HK
2023-10-01,San Diego - Mission Boulevard,California,West,Small Market,1_Co,Amaretto,Coffee,LE635PL
2023-01-01,San Jose - Santa Clara Street,,West,,1_Co,Amaretto,Coffee,UY52982
2023-04-01,San Jose - Santa Clara Street,California,,Small Market,1_Co,Amaretto,Coffee,GQ097PY
2023-07-01,San Jose - Santa Clara Street,California,West,Medium Market,1_Co,Amaretto,Coffee,OL7861D
2023-10-01,San Jose - Santa Clara Street,California,West,Big Market,1_Co,Amaretto,Coffee,VO3279U
2023-01-01,San Jose - The Alameda,California,West,Micro Market,1_Co,Amaretto,Coffee,MR614HB
2023-04-01,San Jose - The Alameda,California,,Big Market,1_Co,Amaretto,Coffee,VQ23027
2023-07-01,San Jose - The Alameda,California,West,Micro Market,1_Co,Amaretto,Coffee,HS026FA
2023-10-01,San Jose - The Alameda,California,West,Big Market,1_Co,Amaretto,Coffee,UN875CG
2023-01-01,San Jose - First Street,California,,,1_Co,Amaretto,Coffee,AJ253E0
2023-04-01,San Jose - First Street,California,West,Medium Market,1_Co,Amaretto,Coffee,ZQ741DH
2023-07-01,San Jose - First Street,California,West,Micro Market,1_Co,Amaretto,Coffee,IZ082G1
2023-10-01,San Jose - First Street,California,West,Big Market,1_Co,Amaretto,Coffee,WJ771YY
2023-01-01,San Jose - East San Jose,California,West,Irrelevant Market,1_Co,Amaretto,Coffee,KP6689X
2023-04-01,San Jose - East San Jose,California,West,Medium Market,1_Co,Amaretto,Coffee,AK733KF
2023-07-01,San Jose - East San Jose,California,West,Medium Market,1_Co,Amaretto,Coffee,HM021W8
2023-10-01,San Jose - East San Jose,California,West,Micro Market,1_Co,Amaretto,Coffee,JO902ZQ
2023-01-01,San Jose - West San Jose,California,,Small Market,1_Co,Amaretto,Coffee,WU456JW
2023-04-01,San Jose - West San Jose,California,West,Micro Market,1_Co,Amaretto,Coffee,YV535PR
2023-07-01,San Jose - West San Jose,California,West,Big Market,1_Co,Amaretto,Coffee,IA936B9
2023-10-01,San Jose - West San Jose,California,West,Small Market,1_Co,Amaretto,Coffee,RY6334F
2023-01-01,San Jose - North San Jose,California,West,,1_Co,Amaretto,Coffee,GC417AJ
2023-04-01,San Jose - North San Jose,California,West,Big Market,1_Co,Amaretto,Coffee,TV073W4
2023-07-01,San Jose - North San Jose,California,West,Big Market,1_Co,Amaretto,Coffee,YA44083
2023-10-01,San Jose - North San Jose,California,,Medium Market,1_Co,Amaretto,Coffee,OO223RM
2023-01-01,San Jose - South San Jose,California,West,Micro Market,1_Co,Amaretto,Coffee,UU1053H
2023-04-01,San Jose - South San Jose,California,West,Big Market,1_Co,,Coffee,IY602ES
2023-07-01,San Jose - South San Jose,California,West,Micro Market,1_Co,Amaretto,Coffee,FV960O7
2023-10-01,San Jose - South San Jose,California,West,Small Market,1_Co,Amaretto,,JY380TG
2023-01-01,San Jose - Almaden Valley,California,West,,1_Co,,Coffee,IF223IO
2023-04-01,San Jose - Almaden Valley,,West,Big Market,1_Co,Amaretto,Coffee,DL7055Y
2023-07-01,San Jose - Almaden Valley,California,West,Medium Market,1_Co,Amaretto,,LO227QK
2023-10-01,San Jose - Almaden Valley,California,West,Micro Market,1_Co,Amaretto,Coffee,IW993N1
2023-01-01,San Jose - Evergreen,California,West,Small Market,1_Co,,,PB36749
2023-04-01,San Jose - Evergreen,,West,,1_Co,Amaretto,Coffee,XJ433K0
2023-07-01,San Jose - Evergreen,California,West,Medium Market,1_Co,Amaretto,Coffee,RI661DP
2023-10-01,San Jose - Evergreen,California,West,Medium Market,1_Co,Amaretto,Coffee,MU30768
2023-01-01,San Jose - Willow Glen,California,West,Medium Market,1_Co,Amaretto,,FV154D5
2023-04-01,San Jose - Willow Glen,California,West,Small Market,1_Co,Amaretto,Coffee,NW401P3
2023-07-01,San Jose - Willow Glen,California,West,Big Market,1_Co,Amaretto,Coffee,CU267ET
2023-10-01,San Jose - Willow Glen,California,West,Medium Market,1_Co,Amaretto,Coffee,TI4509K
2023-01-01,San Jose - Cambrian Park,,West,Small Market,1_Co,Amaretto,Coffee,VX876FS
2023-04-01,San Jose - Cambrian Park,California,West,Big Market,1_Co,Amaretto,Coffee,RP691EX
2023-07-01,San Jose - Cambrian Park,California,West,Small Market,1_Co,Amaretto,Coffee,HM8177Q
2023-10-01,San Jose - Cambrian Park,California,West,Medium Market,1_Co,Amaretto,Coffee,OR8222C
2023-01-01,Long Beach - Downtown Long Beach,California,West,Medium Market,1_Co,Amaretto,,HT067SB
2023-04-01,Long Beach - Downtown Long Beach,California,West,Medium Market,1_Co,Amaretto,,NR576M1
2023-07-01,Long Beach - Downtown Long Beach,California,,,1_Co,Amaretto,,QW2099Q
2023-10-01,Long Beach - Downtown Long Beach,California,West,,1_Co,Amaretto,,QU608N6
2023-01-01,Long Beach - Belmont Shore,California,West,Big Market,1_Co,Amaretto,Coffee,OI450FG
2023-04-01,Long Beach - Belmont Shore,California,West,Medium Market,1_Co,Amaretto,Coffee,AX832ED
2023-07-01,Long Beach - Belmont Shore,,West,Micro Market,1_Co,Amaretto,,JY399XC
2023-10-01,Long Beach - Belmont Shore,California,West,,1_Co,Amaretto,Coffee,HA536N1
2023-01-01,Fresno - Tower District,California,West,Big Market,1_Co,Amaretto,Coffee,TL028TX
2023-04-01,Fresno - Tower District,California,West,,1_Co,Amaretto,Coffee,LJ061JP
2023-07-01,Fresno - Tower District,California,West,Big Market,1_Co,Amaretto,Coffee,SG5564F
2023-10-01,Fresno - Tower District,,West,Medium Market,1_Co,Amaretto,Coffee,VT704DZ
2023-01-01,Anaheim - Disneyland Drive,California,West,Micro Market,1_Co,Amaretto,Coffee,JB792V5
2023-04-01,Anaheim - Disneyland Drive,California,West,Big Market,1_Co,Amaretto,Coffee,LS3169H
2023-07-01,Anaheim - Disneyland Drive,California,West,Small Market,1_Co,Amaretto,Coffee,DO059JF
2023-10-01,Anaheim - Disneyland Drive,California,West,Small Market,1_Co,Amaretto,Coffee,DJ011OF
2023-01-01,Santa Ana - Main Street,California,West,Big Market,1_Co,Amaretto,Coffee,ZT271BL
2023-04-01,Santa Ana - Main Street,California,West,Small Market,1_Co,Amaretto,Coffee,ME597IN
2023-07-01,Santa Ana - Main Street,California,West,Medium Market,1_Co,,Coffee,BB846P7
2023-10-01,Santa Ana - Main Street,California,West,Small Market,1_Co,Amaretto,Coffee,FE4744T
2023-01-01,Riverside - Main Street,California,West,Big Market,1_Co,Amaretto,Coffee,WW947YZ
2023-04-01,Riverside - Main Street,California,West,Big Market,1_Co,Amaretto,Coffee,VY559QR
2023-07-01,Riverside - Main Street,California,West,Big Market,1_Co,Amaretto,Coffee,UL275XM
2023-10-01,Riverside - Main Street,California,West,Medium Market,1_Co,Amaretto,Coffee,RH568JP
2023-01-01,Irvine - Spectrum Center Drive,California,West,,1_Co,Amaretto,Coffee,HH394G9
2023-04-01,Irvine - Spectrum Center Drive,California,West,Small Market,1_Co,Amaretto,Coffee,CB721EP
2023-07-01,Irvine - Spectrum Center Drive,,West,Big Market,1_Co,Amaretto,Coffee,YG371XB
2023-10-01,Irvine - Spectrum Center Drive,California,West,Micro Market,1_Co,Amaretto,Coffee,DR498PM
2023-01-01,SM - Ocean Avenue,California,West,Medium Market,1_Co,Amaretto,,VJ661VO
2023-04-01,SM - Ocean Avenue,California,West,Micro Market,1_Co,Amaretto,Coffee,HE179MJ
2023-07-01,SM - Ocean Avenue,California,West,Micro Market,1_Co,Amaretto,Coffee,MX061NL
2023-10-01,SM - Ocean Avenue,California,West,,1_Co,Amaretto,Coffee,VR803I9
2023-01-01,Pasadena - Colorado Boulevard,California,West,Big Market,1_Co,Amaretto,Coffee,UU7233U
2023-04-01,Pasadena - Colorado Boulevard,California,West,Small Market,1_Co,Amaretto,Coffee,GS896MK
2023-07-01,Pasadena - Colorado Boulevard,California,West,Medium Market,1_Co,Amaretto,Coffee,IC722DZ
2023-10-01,Pasadena - Colorado Boulevard,California,West,Micro Market,1_Co,Amaretto,Coffee,RA2205R
2023-01-01,Berkeley - Telegraph Avenue,California,West,Big Market,1_Co,Amaretto,Coffee,AS477FA
2023-04-01,Berkeley - Telegraph Avenue,,West,Micro Market,1_Co,Amaretto,Coffee,RT073FX
2023-07-01,Berkeley - Telegraph Avenue,California,West,,1_Co,Amaretto,Coffee,MK138AA
2023-10-01,Berkeley - Telegraph Avenue,California,West,Medium Market,1_Co,Amaretto,Coffee,HI733EJ
2023-01-01,Hollywood - Vine Street,California,,Medium Market,1_Co,Amaretto,Coffee,ZV216X3
2023-04-01,Hollywood - Vine Street,California,West,Micro Market,1_Co,Amaretto,Coffee,OS384S8
2023-07-01,Hollywood - Vine Street,California,West,Small Market,1_Co,Amaretto,Coffee,NH720RW
2023-10-01,Hollywood - Vine Street,California,West,Medium Market,1_Co,Amaretto,Coffee,KB036H0
2023-01-01,SB - State Street,California,West,Micro Market,1_Co,Amaretto,Coffee,BH51439
2023-04-01,SB - State Street,California,West,Small Market,1_Co,Amaretto,Coffee,BP042C9
2023-07-01,SB - State Street,California,West,Micro Market,1_Co,Amaretto,Coffee,UM723AK
2023-10-01,SB - State Street,California,West,Small Market,1_Co,Amaretto,Coffee,DR3866S
2023-01-01,Palm Springs - Palm Canyon Drive,California,West,Big Market,1_Co,Amaretto,Coffee,TY432MA
2023-04-01,Palm Springs - Palm Canyon Drive,California,West,Big Market,1_Co,Amaretto,Coffee,WG901JO
2023-07-01,Palm Springs - Palm Canyon Drive,California,,Small Market,1_Co,Amaretto,Coffee,IR929PL
2023-10-01,Palm Springs - Palm Canyon Drive,California,West,Medium Market,1_Co,Amaretto,Coffee,ZR829FV
2023-01-01,Malibu - Pacific Coast Highway,California,West,Medium Market,1_Co,Amaretto,Coffee,LS1044P
2023-04-01,Malibu - Pacific Coast Highway,California,West,Medium Market,1_Co,Amaretto,Coffee,TK615YB
2023-07-01,Malibu - Pacific Coast Highway,California,West,Big Market,1_Co,Amaretto,Coffee,UU1502I
2023-10-01,Malibu - Pacific Coast Highway,California,West,Big Market,1_Co,Amaretto,Coffee,VF2052H
2023-01-01,NB - Newport Beach Pier,,West,Medium Market,1_Co,Amaretto,Coffee,GE209J7
2023-04-01,NB - Newport Beach Pier,California,West,Big Market,1_Co,Amaretto,Coffee,EI322UP
2023-07-01,NB - Newport Beach Pier,California,,Medium Market,1_Co,Amaretto,Coffee,CH742OZ
2023-10-01,NB - Newport Beach Pier,California,West,Small Market,1_Co,Amaretto,Coffee,IM166EP
2023-01-01,Huntington Beach - Main Street,California,West,,1_Co,Amaretto,Coffee,IL555TS
2023-04-01,Huntington Beach - Main Street,California,West,Small Market,1_Co,Amaretto,Coffee,FC9623I
2023-07-01,Huntington Beach - Main Street,California,,Big Market,1_Co,Amaretto,Coffee,WP8637K
2023-10-01,Huntington Beach - Main Street,,West,Big Market,1_Co,Amaretto,Coffee,ZM788OG
2023-01-01,Ventura - Main Street,California,West,Big Market,1_Co,Amaretto,,FP8269A
2023-04-01,Ventura - Main Street,California,West,Small Market,1_Co,Amaretto,Coffee,KS272WB
2023-07-01,Ventura - Main Street,California,West,Medium Market,1_Co,Amaretto,Coffee,QZ898RE
2023-10-01,Ventura - Main Street,California,West,Medium Market,1_Co,Amaretto,Coffee,PE101DM
2023-01-01,Palo Alto - University Avenue,California,West,Micro Market,1_Co,Amaretto,,ZE910JD
2023-04-01,Palo Alto - University Avenue,California,West,Irrelevant Market,1_Co,Amaretto,Coffee,RC331U0
2023-07-01,Palo Alto - University Avenue,California,West,Medium Market,1_Co,Amaretto,Coffee,RQ008QR
2023-10-01,Palo Alto - University Avenue,California,West,Big Market,1_Co,,Coffee,UW412NS
2023-01-01,MV - Castro Street,California,West,Medium Market,1_Co,Amaretto,Coffee,TQ15575
2023-04-01,MV - Castro Street,California,West,,1_Co,Amaretto,Coffee,HK763PZ
2023-07-01,MV - Castro Street,California,West,Micro Market,1_Co,Amaretto,Coffee,DW136VR
2023-10-01,MV - Castro Street,,West,Small Market,1_Co,Amaretto,Coffee,DC040DW
2023-01-01,SC - Pacific Avenue,California,West,,1_Co,Amaretto,Coffee,SH857W7
2023-04-01,SC - Pacific Avenue,California,,Small Market,1_Co,Amaretto,,AC930MY
2023-07-01,SC - Pacific Avenue,California,West,Medium Market,1_Co,Amaretto,Coffee,KR1715M
2023-10-01,SC - Pacific Avenue,California,West,Medium Market,1_Co,,Coffee,NK076BU
2023-01-01,Denver - 16th Street Mall,Colorado,,Micro Market,1_Co,Amaretto,Coffee,DO0831D
2023-04-01,Denver - 16th Street Mall,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,GN165WU
2023-07-01,Denver - 16th Street Mall,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,XL003KJ
2023-10-01,Denver - 16th Street Mall,Colorado,West,,1_Co,Amaretto,Coffee,ZB295N5
2023-01-01,Denver - Larimer Square,Colorado,,Big Market,1_Co,Amaretto,Coffee,EV270PE
2023-04-01,Denver - Larimer Square,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,OJ842HY
2023-07-01,Denver - Larimer Square,Colorado,West,Small Market,1_Co,,Coffee,YQ7299D
2023-10-01,Denver - Larimer Square,Colorado,West,Big Market,1_Co,Amaretto,Coffee,JG2795B
2023-01-01,Colorado Springs - Garden of the Gods,Colorado,West,,1_Co,Amaretto,Coffee,HM55495
2023-04-01,Colorado Springs - Garden of the Gods,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,ZE3454W
2023-07-01,Colorado Springs - Garden of the Gods,Colorado,West,Big Market,1_Co,Amaretto,Coffee,XU033FI
2023-10-01,Colorado Springs - Garden of the Gods,Colorado,West,Micro Market,1_Co,Amaretto,Coffee,GR5364H
2023-01-01,Aurora - Southlands,Colorado,West,Big Market,1_Co,Amaretto,Coffee,JI363BE
2023-04-01,Aurora - Southlands,Colorado,West,Big Market,1_Co,Amaretto,Coffee,JE026KC
2023-07-01,Aurora - Southlands,Colorado,West,Small Market,1_Co,Amaretto,Coffee,XO084F0
2023-10-01,Aurora - Southlands,Colorado,West,Medium Market,1_Co,,Coffee,JP765EK
2023-01-01,Fort Collins - Old Town Square,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,SE762VG
2023-04-01,Fort Collins - Old Town Square,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,CO1803L
2023-07-01,Fort Collins - Old Town Square,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,EA615E6
2023-10-01,Fort Collins - Old Town Square,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,UQ853EV
2023-01-01,Lakewood - Belmar,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,TW4769Q
2023-04-01,Lakewood - Belmar,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,HD896ZE
2023-07-01,Lakewood - Belmar,Colorado,West,Small Market,1_Co,Amaretto,Coffee,RQ066FE
2023-10-01,Lakewood - Belmar,Colorado,West,,1_Co,Amaretto,Coffee,CK81043
2023-01-01,Thornton - Carpenter Park,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,FR95375
2023-04-01,Thornton - Carpenter Park,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,NH852C9
2023-07-01,Thornton - Carpenter Park,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,QW785BN
2023-10-01,Thornton - Carpenter Park,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,RO75579
2023-01-01,Arvada - Olde Town,Colorado,West,Medium Market,1_Co,,Coffee,CN047EG
2023-04-01,Arvada - Olde Town,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,RB160BI
2023-07-01,Arvada - Olde Town,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,PE270XO
2023-10-01,Arvada - Olde Town,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,VM90230
2023-01-01,Westminster - Westminster Promenade,Colorado,West,Small Market,1_Co,Amaretto,Coffee,UM2616I
2023-04-01,Westminster - Westminster Promenade,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,XG324XF
2023-07-01,Westminster - Westminster Promenade,Colorado,West,Small Market,1_Co,Amaretto,Coffee,IM138EU
2023-10-01,Westminster - Westminster Promenade,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,DX2242Z
2023-01-01,Centennial - The Streets at SouthGlenn,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,PT307EQ
2023-04-01,Centennial - The Streets at SouthGlenn,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,CF853DE
2023-07-01,Centennial - The Streets at SouthGlenn,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,ON456NX
2023-10-01,Centennial - The Streets at SouthGlenn,Colorado,West,Medium Market,1_Co,,Coffee,XM81099
2023-01-01,Boulder - Pearl Street Mall,Colorado,,Medium Market,1_Co,Amaretto,Coffee,JN89990
2023-04-01,Boulder - Pearl Street Mall,Colorado,West,Big Market,1_Co,Amaretto,Coffee,IB7683G
2023-07-01,Boulder - Pearl Street Mall,Colorado,West,Small Market,1_Co,,Coffee,CP918CG
2023-10-01,Boulder - Pearl Street Mall,Colorado,West,Micro Market,1_Co,Amaretto,Coffee,PP079AR
2023-01-01,Greeley - Centennial Village Museum,Colorado,West,Big Market,1_Co,Amaretto,Coffee,TW967EB
2023-04-01,Greeley - Centennial Village Museum,Colorado,,Medium Market,1_Co,Amaretto,Coffee,MX863QU
2023-07-01,Greeley - Centennial Village Museum,Colorado,West,Micro Market,1_Co,Amaretto,Coffee,ME455KN
2023-10-01,Greeley - Centennial Village Museum,Colorado,West,Big Market,1_Co,Amaretto,Coffee,KD122CI
2023-01-01,Longmont - Downtown Longmont,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,WS066BK
2023-04-01,Longmont - Downtown Longmont,Colorado,West,Micro Market,1_Co,Amaretto,Coffee,VZ518PT
2023-07-01,Longmont - Downtown Longmont,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,UB390NO
2023-10-01,Longmont - Downtown Longmont,Colorado,West,Small Market,1_Co,Amaretto,Coffee,QI688UL
2023-01-01,Loveland - Benson Sculpture Garden,Colorado,West,,1_Co,Amaretto,Coffee,IY65633
2023-04-01,Loveland - Benson Sculpture Garden,Colorado,West,,1_Co,Amaretto,Coffee,GU7759L
2023-07-01,Loveland - Benson Sculpture Garden,Colorado,West,Micro Market,1_Co,Amaretto,,ML714NT
2023-10-01,Loveland - Benson Sculpture Garden,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,CH034A8
2023-01-01,Broomfield - 1stBank Center,Colorado,West,Micro Market,1_Co,Amaretto,Coffee,XJ968XK
2023-04-01,Broomfield - 1stBank Center,Colorado,West,Small Market,1_Co,Amaretto,Coffee,ZU697QR
2023-07-01,Broomfield - 1stBank Center,Colorado,West,Micro Market,1_Co,Amaretto,Coffee,YC121X3
2023-10-01,Broomfield - 1stBank Center,Colorado,West,Big Market,1_Co,Amaretto,Coffee,TY443ZZ
2023-01-01,Grand Junction - Historic Street,Colorado,West,Micro Market,1_Co,Amaretto,Coffee,QX940D9
2023-04-01,Grand Junction - Historic Street,Colorado,,Medium Market,1_Co,Amaretto,Coffee,ML783Z9
2023-07-01,Grand Junction - Historic Street,Colorado,West,Big Market,1_Co,Amaretto,Coffee,VJ708WL
2023-10-01,Grand Junction - Historic Street,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,PY9654B
2023-01-01,Pueblo - Union Avenue Historic District,,West,Medium Market,1_Co,Amaretto,Coffee,ZB5576B
2023-04-01,Pueblo - Union Avenue Historic District,Colorado,West,Big Market,1_Co,Amaretto,Coffee,FD977DK
2023-07-01,Pueblo - Union Avenue Historic District,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,QV72191
2023-10-01,Pueblo - Union Avenue Historic District,Colorado,West,Medium Market,1_Co,Amaretto,Coffee,GW541SW
2023-01-01,Castle Rock - The Outlets at Castle Rock,Colorado,West,Micro Market,1_Co,Amaretto,Coffee,PJ676U8
2023-04-01,Castle Rock - The Outlets at Castle Rock,Colorado,West,Micro Market,1_Co,Amaretto,Coffee,FO490SO
2023-07-01,Castle Rock - The Outlets at Castle Rock,Colorado,West,Small Market,1_Co,Amaretto,Coffee,NF117VP
2023-10-01,Castle Rock - The Outlets at Castle Rock,Colorado,,Medium Market,1_Co,Amaretto,Coffee,SO050CR
2023-01-01,Commerce City - Dicks Sporting Goods Park,Colorado,West,Micro Market,1_Co,Amaretto,Coffee,UW393W6
2023-04-01,Commerce City - Dicks Sporting Goods Park,,West,Small Market,1_Co,Amaretto,Coffee,TJ0769P
2023-07-01,Commerce City - Dicks Sporting Goods Park,Colorado,West,Micro Market,1_Co,,Coffee,ME830HY
